sentence_1,sentence_2,label,tense_sentence_1-tense_sentence_2,aspect_sentence_1-aspect_sentence_2
Phil has owned the sofa,Phil will collect the sofa,0,present perfect - future simple,perfect - progressive
Phil has owned the sofa,Phil collects the sofa,0,present perfect - present simple,perfect - progressive
Phil has owned the sofa,Phil collected the sofa,0,present perfect - past simple,perfect - perfect
Phil had owned the sofa,Phil is collecting the sofa,0,past perfect - present progressive,perfect - progressive
Phil had owned the sofa,Phil was collecting the sofa,0,past perfect - past progressive,perfect - progressive
Phil had owned the sofa,Phil has collected the sofa,0,past perfect - present perfect,perfect - perfect
Phil had owned the sofa,Phil had collected the sofa,0,past perfect - past perfect,perfect - perfect
Phil had owned the sofa,Phil will collect the sofa,0,past perfect - future simple,perfect - progressive
Phil had owned the sofa,Phil collects the sofa,0,past perfect - present simple,perfect - progressive
Phil had owned the sofa,Phil collected the sofa,0,past perfect - past simple,perfect - perfect
Phil will own the sofa,Phil is collecting the sofa,0,future simple - present progressive,progressive - progressive
Phil will own the sofa,Phil was collecting the sofa,0,future simple - past progressive,progressive - progressive
Phil will own the sofa,Phil has collected the sofa,0,future simple - present perfect,progressive - perfect
Phil will own the sofa,Phil had collected the sofa,0,future simple - past perfect,progressive - perfect
Phil will own the sofa,Phil will collect the sofa,0,future simple - future simple,progressive - progressive
Phil will own the sofa,Phil collects the sofa,0,future simple - present simple,progressive - progressive
Phil will own the sofa,Phil collected the sofa,0,future simple - past simple,progressive - perfect
Phil owns the sofa,Phil is collecting the sofa,0,present simple - present progressive,progressive - progressive
Phil owns the sofa,Phil was collecting the sofa,0,present simple - past progressive,progressive - progressive
Phil owns the sofa,Phil has collected the sofa,0,present simple - present perfect,progressive - perfect
Phil owns the sofa,Phil had collected the sofa,0,present simple - past perfect,progressive - perfect
Phil owns the sofa,Phil will collect the sofa,0,present simple - future simple,progressive - progressive
Phil owns the sofa,Phil collects the sofa,0,present simple - present simple,progressive - progressive
Phil owns the sofa,Phil collected the sofa,0,present simple - past simple,progressive - perfect
Phil owned the sofa,Phil is collecting the sofa,0,past simple - present progressive,perfect - progressive
Phil owned the sofa,Phil was collecting the sofa,0,past simple - past progressive,perfect - progressive
Phil owned the sofa,Phil has collected the sofa,0,past simple - present perfect,perfect - perfect
Phil owned the sofa,Phil had collected the sofa,0,past simple - past perfect,perfect - perfect
Phil owned the sofa,Phil will collect the sofa,0,past simple - future simple,perfect - progressive
Phil owned the sofa,Phil collects the sofa,0,past simple - present simple,perfect - progressive
Phil owned the sofa,Phil collected the sofa,0,past simple - past simple,perfect - perfect
Barry is purchasing the bicycle,Barry is choosing the bicycle,1,present progressive - present progressive,progressive - progressive
Barry is purchasing the bicycle,Barry was choosing the bicycle,0,present progressive - past progressive,progressive - progressive
Barry is purchasing the bicycle,Barry has chosen the bicycle,0,present progressive - present perfect,progressive - perfect
Barry is purchasing the bicycle,Barry had chosen the bicycle,0,present progressive - past perfect,progressive - perfect
Barry is purchasing the bicycle,Barry will choose the bicycle,1,present progressive - future simple,progressive - progressive
Barry is purchasing the bicycle,Barry chooses the bicycle,0,present progressive - present simple,progressive - progressive
Barry is purchasing the bicycle,Barry chose the bicycle,0,present progressive - past simple,progressive - perfect
Barry was purchasing the bicycle,Barry is choosing the bicycle,0,past progressive - present progressive,progressive - progressive
Barry was purchasing the bicycle,Barry was choosing the bicycle,1,past progressive - past progressive,progressive - progressive
Barry was purchasing the bicycle,Barry has chosen the bicycle,0,past progressive - present perfect,progressive - perfect
Barry was purchasing the bicycle,Barry had chosen the bicycle,1,past progressive - past perfect,progressive - perfect
Barry was purchasing the bicycle,Barry will choose the bicycle,0,past progressive - future simple,progressive - progressive
Barry was purchasing the bicycle,Barry chooses the bicycle,0,past progressive - present simple,progressive - progressive
Barry was purchasing the bicycle,Barry chose the bicycle,1,past progressive - past simple,progressive - perfect
Barry has purchased the bicycle,Barry is choosing the bicycle,0,present perfect - present progressive,perfect - progressive
Barry has purchased the bicycle,Barry was choosing the bicycle,1,present perfect - past progressive,perfect - progressive
Barry has purchased the bicycle,Barry has chosen the bicycle,1,present perfect - present perfect,perfect - perfect
Barry has purchased the bicycle,Barry had chosen the bicycle,0,present perfect - past perfect,perfect - perfect
Barry has purchased the bicycle,Barry will choose the bicycle,0,present perfect - future simple,perfect - progressive
Barry has purchased the bicycle,Barry chooses the bicycle,0,present perfect - present simple,perfect - progressive
Barry has purchased the bicycle,Barry chose the bicycle,1,present perfect - past simple,perfect - perfect
Barry had purchased the bicycle,Barry is choosing the bicycle,0,past perfect - present progressive,perfect - progressive
Barry had purchased the bicycle,Barry was choosing the bicycle,1,past perfect - past progressive,perfect - progressive
Barry had purchased the bicycle,Barry has chosen the bicycle,0,past perfect - present perfect,perfect - perfect
Barry had purchased the bicycle,Barry had chosen the bicycle,1,past perfect - past perfect,perfect - perfect
Barry had purchased the bicycle,Barry will choose the bicycle,0,past perfect - future simple,perfect - progressive
Barry had purchased the bicycle,Barry chooses the bicycle,0,past perfect - present simple,perfect - progressive
Barry had purchased the bicycle,Barry chose the bicycle,1,past perfect - past simple,perfect - perfect
Barry will purchase the bicycle,Barry is choosing the bicycle,0,future simple - present progressive,progressive - progressive
Barry will purchase the bicycle,Barry was choosing the bicycle,0,future simple - past progressive,progressive - progressive
Barry will purchase the bicycle,Barry has chosen the bicycle,0,future simple - present perfect,progressive - perfect
Barry will purchase the bicycle,Barry had chosen the bicycle,0,future simple - past perfect,progressive - perfect
Barry will purchase the bicycle,Barry will choose the bicycle,1,future simple - future simple,progressive - progressive
Barry will purchase the bicycle,Barry chooses the bicycle,0,future simple - present simple,progressive - progressive
Barry will purchase the bicycle,Barry chose the bicycle,0,future simple - past simple,progressive - perfect
Barry purchases the bicycle,Barry is choosing the bicycle,0,present simple - present progressive,progressive - progressive
Barry purchases the bicycle,Barry was choosing the bicycle,1,present simple - past progressive,progressive - progressive
Barry purchases the bicycle,Barry has chosen the bicycle,1,present simple - present perfect,progressive - perfect
Barry purchases the bicycle,Barry had chosen the bicycle,0,present simple - past perfect,progressive - perfect
Barry purchases the bicycle,Barry will choose the bicycle,0,present simple - future simple,progressive - progressive
Barry purchases the bicycle,Barry chooses the bicycle,0,present simple - present simple,progressive - progressive
Barry purchases the bicycle,Barry chose the bicycle,1,present simple - past simple,progressive - perfect
Barry purchased the bicycle,Barry is choosing the bicycle,0,past simple - present progressive,perfect - progressive
Barry purchased the bicycle,Barry was choosing the bicycle,1,past simple - past progressive,perfect - progressive
Barry purchased the bicycle,Barry has chosen the bicycle,0,past simple - present perfect,perfect - perfect
Barry purchased the bicycle,Barry had chosen the bicycle,1,past simple - past perfect,perfect - perfect
Barry purchased the bicycle,Barry will choose the bicycle,0,past simple - future simple,perfect - progressive
Barry purchased the bicycle,Barry chooses the bicycle,0,past simple - present simple,perfect - progressive
Barry purchased the bicycle,Barry chose the bicycle,1,past simple - past simple,perfect - perfect
Barry is choosing the bicycle,Barry is purchasing the bicycle,0,present progressive - present progressive,progressive - progressive
Barry is choosing the bicycle,Barry was purchasing the bicycle,0,present progressive - past progressive,progressive - progressive
Barry is choosing the bicycle,Barry has purchased the bicycle,0,present progressive - present perfect,progressive - perfect
Barry is choosing the bicycle,Barry had purchased the bicycle,0,present progressive - past perfect,progressive - perfect
Barry is choosing the bicycle,Barry will purchase the bicycle,0,present progressive - future simple,progressive - progressive
Barry is choosing the bicycle,Barry purchases the bicycle,0,present progressive - present simple,progressive - progressive
Barry is choosing the bicycle,Barry purchased the bicycle,0,present progressive - past simple,progressive - perfect
Barry was choosing the bicycle,Barry is purchasing the bicycle,0,past progressive - present progressive,progressive - progressive
Barry was choosing the bicycle,Barry was purchasing the bicycle,0,past progressive - past progressive,progressive - progressive
Barry was choosing the bicycle,Barry has purchased the bicycle,0,past progressive - present perfect,progressive - perfect
Barry was choosing the bicycle,Barry had purchased the bicycle,0,past progressive - past perfect,progressive - perfect
Barry was choosing the bicycle,Barry will purchase the bicycle,0,past progressive - future simple,progressive - progressive
Barry was choosing the bicycle,Barry purchases the bicycle,0,past progressive - present simple,progressive - progressive
Barry was choosing the bicycle,Barry purchased the bicycle,0,past progressive - past simple,progressive - perfect
Barry has chosen the bicycle,Barry is purchasing the bicycle,0,present perfect - present progressive,perfect - progressive
Barry has chosen the bicycle,Barry was purchasing the bicycle,0,present perfect - past progressive,perfect - progressive
Barry has chosen the bicycle,Barry has purchased the bicycle,0,present perfect - present perfect,perfect - perfect
Barry has chosen the bicycle,Barry had purchased the bicycle,0,present perfect - past perfect,perfect - perfect
Barry has chosen the bicycle,Barry will purchase the bicycle,0,present perfect - future simple,perfect - progressive
Barry has chosen the bicycle,Barry purchases the bicycle,0,present perfect - present simple,perfect - progressive
Barry has chosen the bicycle,Barry purchased the bicycle,0,present perfect - past simple,perfect - perfect
Barry had chosen the bicycle,Barry is purchasing the bicycle,0,past perfect - present progressive,perfect - progressive
Barry had chosen the bicycle,Barry was purchasing the bicycle,0,past perfect - past progressive,perfect - progressive
Barry had chosen the bicycle,Barry has purchased the bicycle,0,past perfect - present perfect,perfect - perfect
Barry had chosen the bicycle,Barry had purchased the bicycle,0,past perfect - past perfect,perfect - perfect
Barry had chosen the bicycle,Barry will purchase the bicycle,0,past perfect - future simple,perfect - progressive
Barry had chosen the bicycle,Barry purchases the bicycle,0,past perfect - present simple,perfect - progressive
Barry had chosen the bicycle,Barry purchased the bicycle,0,past perfect - past simple,perfect - perfect
Barry will choose the bicycle,Barry is purchasing the bicycle,0,future simple - present progressive,progressive - progressive
Barry will choose the bicycle,Barry was purchasing the bicycle,0,future simple - past progressive,progressive - progressive
Barry will choose the bicycle,Barry has purchased the bicycle,0,future simple - present perfect,progressive - perfect
Barry will choose the bicycle,Barry had purchased the bicycle,0,future simple - past perfect,progressive - perfect
Barry will choose the bicycle,Barry will purchase the bicycle,0,future simple - future simple,progressive - progressive
Barry will choose the bicycle,Barry purchases the bicycle,0,future simple - present simple,progressive - progressive
Barry will choose the bicycle,Barry purchased the bicycle,0,future simple - past simple,progressive - perfect
Barry chooses the bicycle,Barry is purchasing the bicycle,0,present simple - present progressive,progressive - progressive
Barry chooses the bicycle,Barry was purchasing the bicycle,0,present simple - past progressive,progressive - progressive
Barry chooses the bicycle,Barry has purchased the bicycle,0,present simple - present perfect,progressive - perfect
Barry chooses the bicycle,Barry had purchased the bicycle,0,present simple - past perfect,progressive - perfect
Barry chooses the bicycle,Barry will purchase the bicycle,0,present simple - future simple,progressive - progressive
Barry chooses the bicycle,Barry purchases the bicycle,0,present simple - present simple,progressive - progressive
Barry chooses the bicycle,Barry purchased the bicycle,0,present simple - past simple,progressive - perfect
Barry chose the bicycle,Barry is purchasing the bicycle,0,past simple - present progressive,perfect - progressive
Barry chose the bicycle,Barry was purchasing the bicycle,0,past simple - past progressive,perfect - progressive
Barry chose the bicycle,Barry has purchased the bicycle,0,past simple - present perfect,perfect - perfect
Barry chose the bicycle,Barry had purchased the bicycle,0,past simple - past perfect,perfect - perfect
Barry chose the bicycle,Barry will purchase the bicycle,0,past simple - future simple,perfect - progressive
Barry chose the bicycle,Barry purchases the bicycle,0,past simple - present simple,perfect - progressive
Barry chose the bicycle,Barry purchased the bicycle,0,past simple - past simple,perfect - perfect
Nick is visiting London,Nick is leaving London,0,present progressive - present progressive,progressive - progressive
Nick is visiting London,Nick was leaving London,0,present progressive - past progressive,progressive - progressive
Nick is visiting London,Nick has left London,0,present progressive - present perfect,progressive - perfect
Nick is visiting London,Nick had left London,0,present progressive - past perfect,progressive - perfect
Nick is visiting London,Nick will leave London,1,present progressive - future simple,progressive - progressive
Nick is visiting London,Nick leaves London,0,present progressive - present simple,progressive - progressive
Nick is visiting London,Nick left London,0,present progressive - past simple,progressive - perfect
Nick was visiting London,Nick is leaving London,0,past progressive - present progressive,progressive - progressive
Nick was visiting London,Nick was leaving London,1,past progressive - past progressive,progressive - progressive
Nick was visiting London,Nick has left London,0,past progressive - present perfect,progressive - perfect
Nick was visiting London,Nick had left London,1,past progressive - past perfect,progressive - perfect
Nick was visiting London,Nick will leave London,0,past progressive - future simple,progressive - progressive
Nick was visiting London,Nick leaves London,0,past progressive - present simple,progressive - progressive
Nick was visiting London,Nick left London,1,past progressive - past simple,progressive - perfect
Nick has visited London,Nick is leaving London,0,present perfect - present progressive,perfect - progressive
Nick has visited London,Nick was leaving London,1,present perfect - past progressive,perfect - progressive
Nick has visited London,Nick has left London,0,present perfect - present perfect,perfect - perfect
Nick has visited London,Nick had left London,1,present perfect - past perfect,perfect - perfect
Nick has visited London,Nick will leave London,0,present perfect - future simple,perfect - progressive
Nick has visited London,Nick leaves London,0,present perfect - present simple,perfect - progressive
Nick has visited London,Nick left London,1,present perfect - past simple,perfect - perfect
Nick had visited London,Nick is leaving London,0,past perfect - present progressive,perfect - progressive
Nick had visited London,Nick was leaving London,1,past perfect - past progressive,perfect - progressive
Nick had visited London,Nick has left London,0,past perfect - present perfect,perfect - perfect
Nick had visited London,Nick had left London,1,past perfect - past perfect,perfect - perfect
Nick had visited London,Nick will leave London,0,past perfect - future simple,perfect - progressive
Nick had visited London,Nick leaves London,0,past perfect - present simple,perfect - progressive
Nick had visited London,Nick left London,1,past perfect - past simple,perfect - perfect
Nick will visit London,Nick is leaving London,0,future simple - present progressive,progressive - progressive
Nick will visit London,Nick was leaving London,0,future simple - past progressive,progressive - progressive
Nick will visit London,Nick has left London,0,future simple - present perfect,progressive - perfect
Nick will visit London,Nick had left London,0,future simple - past perfect,progressive - perfect
Nick will visit London,Nick will leave London,1,future simple - future simple,progressive - progressive
Nick will visit London,Nick leaves London,0,future simple - present simple,progressive - progressive
Nick will visit London,Nick left London,0,future simple - past simple,progressive - perfect
Nick visits London,Nick is leaving London,0,present simple - present progressive,progressive - progressive
Nick visits London,Nick was leaving London,0,present simple - past progressive,progressive - progressive
Nick visits London,Nick has left London,0,present simple - present perfect,progressive - perfect
Nick visits London,Nick had left London,0,present simple - past perfect,progressive - perfect
Nick visits London,Nick will leave London,1,present simple - future simple,progressive - progressive
Nick visits London,Nick leaves London,0,present simple - present simple,progressive - progressive
Nick visits London,Nick left London,0,present simple - past simple,progressive - perfect
Nick visited London,Nick is leaving London,0,past simple - present progressive,perfect - progressive
Nick visited London,Nick was leaving London,1,past simple - past progressive,perfect - progressive
Nick visited London,Nick has left London,0,past simple - present perfect,perfect - perfect
Nick visited London,Nick had left London,1,past simple - past perfect,perfect - perfect
Nick visited London,Nick will leave London,0,past simple - future simple,perfect - progressive
Nick visited London,Nick leaves London,0,past simple - present simple,perfect - progressive
Nick visited London,Nick left London,1,past simple - past simple,perfect - perfect
Nick is leaving London,Nick is visiting London,0,present progressive - present progressive,progressive - progressive
Nick is leaving London,Nick was visiting London,0,present progressive - past progressive,progressive - progressive
Nick is leaving London,Nick has visited London,0,present progressive - present perfect,progressive - perfect
Nick is leaving London,Nick had visited London,0,present progressive - past perfect,progressive - perfect
Nick is leaving London,Nick will visit London,0,present progressive - future simple,progressive - progressive
Nick is leaving London,Nick visits London,0,present progressive - present simple,progressive - progressive
Nick is leaving London,Nick visited London,0,present progressive - past simple,progressive - perfect
Nick was leaving London,Nick is visiting London,0,past progressive - present progressive,progressive - progressive
Nick was leaving London,Nick was visiting London,0,past progressive - past progressive,progressive - progressive
Nick was leaving London,Nick has visited London,0,past progressive - present perfect,progressive - perfect
Nick was leaving London,Nick had visited London,0,past progressive - past perfect,progressive - perfect
Nick was leaving London,Nick will visit London,0,past progressive - future simple,progressive - progressive
Nick was leaving London,Nick visits London,0,past progressive - present simple,progressive - progressive
Nick was leaving London,Nick visited London,0,past progressive - past simple,progressive - perfect
Nick has left London,Nick is visiting London,0,present perfect - present progressive,perfect - progressive
Nick has left London,Nick was visiting London,0,present perfect - past progressive,perfect - progressive
Nick has left London,Nick has visited London,0,present perfect - present perfect,perfect - perfect
Nick has left London,Nick had visited London,0,present perfect - past perfect,perfect - perfect
Nick has left London,Nick will visit London,0,present perfect - future simple,perfect - progressive
Nick has left London,Nick visits London,0,present perfect - present simple,perfect - progressive
Nick has left London,Nick visited London,0,present perfect - past simple,perfect - perfect
Nick had left London,Nick is visiting London,0,past perfect - present progressive,perfect - progressive
Nick had left London,Nick was visiting London,0,past perfect - past progressive,perfect - progressive
Nick had left London,Nick has visited London,0,past perfect - present perfect,perfect - perfect
Nick had left London,Nick had visited London,0,past perfect - past perfect,perfect - perfect
Nick had left London,Nick will visit London,0,past perfect - future simple,perfect - progressive
Nick had left London,Nick visits London,0,past perfect - present simple,perfect - progressive
Nick had left London,Nick visited London,0,past perfect - past simple,perfect - perfect
Nick will leave London,Nick is visiting London,0,future simple - present progressive,progressive - progressive
Nick will leave London,Nick was visiting London,0,future simple - past progressive,progressive - progressive
Nick will leave London,Nick has visited London,0,future simple - present perfect,progressive - perfect
Nick will leave London,Nick had visited London,0,future simple - past perfect,progressive - perfect
Nick will leave London,Nick will visit London,0,future simple - future simple,progressive - progressive
Nick will leave London,Nick visits London,0,future simple - present simple,progressive - progressive
Nick will leave London,Nick visited London,0,future simple - past simple,progressive - perfect
Nick leaves London,Nick is visiting London,0,present simple - present progressive,progressive - progressive
Nick leaves London,Nick was visiting London,0,present simple - past progressive,progressive - progressive
Nick leaves London,Nick has visited London,0,present simple - present perfect,progressive - perfect
Nick leaves London,Nick had visited London,0,present simple - past perfect,progressive - perfect
Nick leaves London,Nick will visit London,0,present simple - future simple,progressive - progressive
Nick leaves London,Nick visits London,0,present simple - present simple,progressive - progressive
Nick leaves London,Nick visited London,0,present simple - past simple,progressive - perfect
Nick left London,Nick is visiting London,0,past simple - present progressive,perfect - progressive
Nick left London,Nick was visiting London,0,past simple - past progressive,perfect - progressive
Nick left London,Nick has visited London,0,past simple - present perfect,perfect - perfect
Nick left London,Nick had visited London,0,past simple - past perfect,perfect - perfect
Nick left London,Nick will visit London,0,past simple - future simple,perfect - progressive
Nick left London,Nick visits London,0,past simple - present simple,perfect - progressive
Nick left London,Nick visited London,0,past simple - past simple,perfect - perfect
Amazon is shipping the order,Amazon is dispatching the order,0,present progressive - present progressive,progressive - progressive
Amazon is shipping the order,Amazon was dispatching the order,1,present progressive - past progressive,progressive - progressive
Amazon is shipping the order,Amazon has dispatched the order,1,present progressive - present perfect,progressive - perfect
Amazon is shipping the order,Amazon had dispatched the order,0,present progressive - past perfect,progressive - perfect
Amazon is shipping the order,Amazon will dispatch the order,0,present progressive - future simple,progressive - progressive
Amazon is shipping the order,Amazon dispatches the order,0,present progressive - present simple,progressive - progressive
Amazon is shipping the order,Amazon dispatched the order,1,present progressive - past simple,progressive - perfect
Amazon was shipping the order,Amazon is dispatching the order,0,past progressive - present progressive,progressive - progressive
Amazon was shipping the order,Amazon was dispatching the order,1,past progressive - past progressive,progressive - progressive
Amazon was shipping the order,Amazon has dispatched the order,0,past progressive - present perfect,progressive - perfect
Amazon was shipping the order,Amazon had dispatched the order,1,past progressive - past perfect,progressive - perfect
Amazon was shipping the order,Amazon will dispatch the order,0,past progressive - future simple,progressive - progressive
Amazon was shipping the order,Amazon dispatches the order,0,past progressive - present simple,progressive - progressive
Amazon was shipping the order,Amazon dispatched the order,1,past progressive - past simple,progressive - perfect
Amazon has shipped the order,Amazon is dispatching the order,0,present perfect - present progressive,perfect - progressive
Amazon has shipped the order,Amazon was dispatching the order,1,present perfect - past progressive,perfect - progressive
Amazon has shipped the order,Amazon has dispatched the order,1,present perfect - present perfect,perfect - perfect
Amazon has shipped the order,Amazon had dispatched the order,1,present perfect - past perfect,perfect - perfect
Amazon has shipped the order,Amazon will dispatch the order,0,present perfect - future simple,perfect - progressive
Amazon has shipped the order,Amazon dispatches the order,0,present perfect - present simple,perfect - progressive
Amazon has shipped the order,Amazon dispatched the order,1,present perfect - past simple,perfect - perfect
Amazon had shipped the order,Amazon is dispatching the order,0,past perfect - present progressive,perfect - progressive
Amazon had shipped the order,Amazon was dispatching the order,1,past perfect - past progressive,perfect - progressive
Amazon had shipped the order,Amazon has dispatched the order,0,past perfect - present perfect,perfect - perfect
Amazon had shipped the order,Amazon had dispatched the order,1,past perfect - past perfect,perfect - perfect
Amazon had shipped the order,Amazon will dispatch the order,0,past perfect - future simple,perfect - progressive
Amazon had shipped the order,Amazon dispatches the order,0,past perfect - present simple,perfect - progressive
Amazon had shipped the order,Amazon dispatched the order,1,past perfect - past simple,perfect - perfect
Amazon will ship the order,Amazon is dispatching the order,0,future simple - present progressive,progressive - progressive
Amazon will ship the order,Amazon was dispatching the order,0,future simple - past progressive,progressive - progressive
Amazon will ship the order,Amazon has dispatched the order,0,future simple - present perfect,progressive - perfect
Amazon will ship the order,Amazon had dispatched the order,0,future simple - past perfect,progressive - perfect
Amazon will ship the order,Amazon will dispatch the order,1,future simple - future simple,progressive - progressive
Amazon will ship the order,Amazon dispatches the order,0,future simple - present simple,progressive - progressive
Amazon will ship the order,Amazon dispatched the order,0,future simple - past simple,progressive - perfect
Amazon ships the order,Amazon is dispatching the order,0,present simple - present progressive,progressive - progressive
Amazon ships the order,Amazon was dispatching the order,1,present simple - past progressive,progressive - progressive
Amazon ships the order,Amazon has dispatched the order,1,present simple - present perfect,progressive - perfect
Amazon ships the order,Amazon had dispatched the order,0,present simple - past perfect,progressive - perfect
Amazon ships the order,Amazon will dispatch the order,0,present simple - future simple,progressive - progressive
Amazon ships the order,Amazon dispatches the order,0,present simple - present simple,progressive - progressive
Amazon ships the order,Amazon dispatched the order,1,present simple - past simple,progressive - perfect
Amazon shipped the order,Amazon is dispatching the order,0,past simple - present progressive,perfect - progressive
Amazon shipped the order,Amazon was dispatching the order,1,past simple - past progressive,perfect - progressive
Amazon shipped the order,Amazon has dispatched the order,0,past simple - present perfect,perfect - perfect
Amazon shipped the order,Amazon had dispatched the order,1,past simple - past perfect,perfect - perfect
Amazon shipped the order,Amazon will dispatch the order,0,past simple - future simple,perfect - progressive
Amazon shipped the order,Amazon dispatches the order,0,past simple - present simple,perfect - progressive
Amazon shipped the order,Amazon dispatched the order,1,past simple - past simple,perfect - perfect
Amazon is dispatching the order,Amazon is shipping the order,1,present progressive - present progressive,progressive - progressive
Amazon is dispatching the order,Amazon was shipping the order,0,present progressive - past progressive,progressive - progressive
Amazon is dispatching the order,Amazon has shipped the order,0,present progressive - present perfect,progressive - perfect
Amazon is dispatching the order,Amazon had shipped the order,0,present progressive - past perfect,progressive - perfect
Amazon is dispatching the order,Amazon will ship the order,1,present progressive - future simple,progressive - progressive
Amazon is dispatching the order,Amazon ships the order,0,present progressive - present simple,progressive - progressive
Amazon is dispatching the order,Amazon shipped the order,0,present progressive - past simple,progressive - perfect
Amazon was dispatching the order,Amazon is shipping the order,0,past progressive - present progressive,progressive - progressive
Amazon was dispatching the order,Amazon was shipping the order,1,past progressive - past progressive,progressive - progressive
Amazon was dispatching the order,Amazon has shipped the order,0,past progressive - present perfect,progressive - perfect
Amazon was dispatching the order,Amazon had shipped the order,1,past progressive - past perfect,progressive - perfect
Amazon was dispatching the order,Amazon will ship the order,0,past progressive - future simple,progressive - progressive
Amazon was dispatching the order,Amazon ships the order,0,past progressive - present simple,progressive - progressive
Amazon was dispatching the order,Amazon shipped the order,1,past progressive - past simple,progressive - perfect
Amazon has dispatched the order,Amazon is shipping the order,1,present perfect - present progressive,perfect - progressive
Amazon has dispatched the order,Amazon was shipping the order,0,present perfect - past progressive,perfect - progressive
Amazon has dispatched the order,Amazon has shipped the order,0,present perfect - present perfect,perfect - perfect
Amazon has dispatched the order,Amazon had shipped the order,0,present perfect - past perfect,perfect - perfect
Amazon has dispatched the order,Amazon will ship the order,0,present perfect - future simple,perfect - progressive
Amazon has dispatched the order,Amazon ships the order,1,present perfect - present simple,perfect - progressive
Amazon has dispatched the order,Amazon shipped the order,0,present perfect - past simple,perfect - perfect
Amazon had dispatched the order,Amazon is shipping the order,0,past perfect - present progressive,perfect - progressive
Amazon had dispatched the order,Amazon was shipping the order,1,past perfect - past progressive,perfect - progressive
Amazon had dispatched the order,Amazon has shipped the order,0,past perfect - present perfect,perfect - perfect
Amazon had dispatched the order,Amazon had shipped the order,1,past perfect - past perfect,perfect - perfect
Amazon had dispatched the order,Amazon will ship the order,0,past perfect - future simple,perfect - progressive
Amazon had dispatched the order,Amazon ships the order,0,past perfect - present simple,perfect - progressive
Amazon had dispatched the order,Amazon shipped the order,1,past perfect - past simple,perfect - perfect
Amazon will dispatch the order,Amazon is shipping the order,0,future simple - present progressive,progressive - progressive
Amazon will dispatch the order,Amazon was shipping the order,0,future simple - past progressive,progressive - progressive
Amazon will dispatch the order,Amazon has shipped the order,0,future simple - present perfect,progressive - perfect
Amazon will dispatch the order,Amazon had shipped the order,0,future simple - past perfect,progressive - perfect
Amazon will dispatch the order,Amazon will ship the order,1,future simple - future simple,progressive - progressive
Amazon will dispatch the order,Amazon ships the order,0,future simple - present simple,progressive - progressive
Amazon will dispatch the order,Amazon shipped the order,0,future simple - past simple,progressive - perfect
Amazon dispatches the order,Amazon is shipping the order,1,present simple - present progressive,progressive - progressive
Amazon dispatches the order,Amazon was shipping the order,0,present simple - past progressive,progressive - progressive
Amazon dispatches the order,Amazon has shipped the order,0,present simple - present perfect,progressive - perfect
Amazon dispatches the order,Amazon had shipped the order,0,present simple - past perfect,progressive - perfect
Amazon dispatches the order,Amazon will ship the order,0,present simple - future simple,progressive - progressive
Amazon dispatches the order,Amazon ships the order,1,present simple - present simple,progressive - progressive
Amazon dispatches the order,Amazon shipped the order,0,present simple - past simple,progressive - perfect
Amazon dispatched the order,Amazon is shipping the order,0,past simple - present progressive,perfect - progressive
Amazon dispatched the order,Amazon was shipping the order,1,past simple - past progressive,perfect - progressive
Amazon dispatched the order,Amazon has shipped the order,0,past simple - present perfect,perfect - perfect
Amazon dispatched the order,Amazon had shipped the order,0,past simple - past perfect,perfect - perfect
Amazon dispatched the order,Amazon will ship the order,0,past simple - future simple,perfect - progressive
Amazon dispatched the order,Amazon ships the order,0,past simple - present simple,perfect - progressive
Amazon dispatched the order,Amazon shipped the order,1,past simple - past simple,perfect - perfect
Amazon is delivering the parcel,Amazon is shipping the parcel,0,present progressive - present progressive,progressive - progressive
Amazon is delivering the parcel,Amazon was shipping the parcel,0,present progressive - past progressive,progressive - progressive
Amazon is delivering the parcel,Amazon has shipped the parcel,0,present progressive - present perfect,progressive - perfect
Amazon is delivering the parcel,Amazon had shipped the parcel,0,present progressive - past perfect,progressive - perfect
Amazon is delivering the parcel,Amazon will ship the parcel,0,present progressive - future simple,progressive - progressive
Amazon is delivering the parcel,Amazon ships the parcel,0,present progressive - present simple,progressive - progressive
Amazon is delivering the parcel,Amazon shipped the parcel,0,present progressive - past simple,progressive - perfect
Amazon was delivering the parcel,Amazon is shipping the parcel,0,past progressive - present progressive,progressive - progressive
Amazon was delivering the parcel,Amazon was shipping the parcel,0,past progressive - past progressive,progressive - progressive
Amazon was delivering the parcel,Amazon has shipped the parcel,0,past progressive - present perfect,progressive - perfect
Amazon was delivering the parcel,Amazon had shipped the parcel,0,past progressive - past perfect,progressive - perfect
Amazon was delivering the parcel,Amazon will ship the parcel,0,past progressive - future simple,progressive - progressive
Amazon was delivering the parcel,Amazon ships the parcel,0,past progressive - present simple,progressive - progressive
Amazon was delivering the parcel,Amazon shipped the parcel,0,past progressive - past simple,progressive - perfect
Amazon has delivered the parcel,Amazon is shipping the parcel,0,present perfect - present progressive,perfect - progressive
Amazon has delivered the parcel,Amazon was shipping the parcel,0,present perfect - past progressive,perfect - progressive
Amazon has delivered the parcel,Amazon has shipped the parcel,0,present perfect - present perfect,perfect - perfect
Amazon has delivered the parcel,Amazon had shipped the parcel,0,present perfect - past perfect,perfect - perfect
Amazon has delivered the parcel,Amazon will ship the parcel,0,present perfect - future simple,perfect - progressive
